gene	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSG00000160191	76936.15948600457	3.0723536351122163	0.15507710298671545	19.811781210378985	2.356001499113173e-87	5.395243432969167e-85
ENSG00000154734	22865.725334904524	3.4424289338276464	0.17924751612356904	19.20489057965253	3.3683299736622206e-82	3.856737819843242e-80
ENSG00000154723	7343.978977559264	2.5826992915264353	0.16376854376009717	15.770423502756454	4.971530306675804e-56	3.79493480076253e-54
ENSG00000180509	30231.692697682494	2.9440756232517016	0.19991822257507033	14.726399551427514	4.3634167982720796e-49	2.4980561170107654e-47
ENSG00000183145	9994.638713261402	2.891433905237155	0.24873665531521294	11.624478513522542	3.094774000568333e-31	1.4174064922602964e-29
ENSG00000276289	11795.9612931791	2.860504183070229	0.4650845508091151	6.150503554877846	7.723732732890809e-10	2.9478913263866586e-8
ENSG00000277277	724.4979104036869	0.9285948339175067	0.2639879916198513	3.517564674891365	4.355262040735206e-4	0.01424792867611946
ENSG00000185437	2256.936280086232	0.5176940969189038	0.19098379922498684	2.710670219252674	0.00671473731817874	0.19220935573286643
ENSG00000160188	1876.1607255322206	-0.5370845653951161	0.21915267519858533	-2.4507324170623814	0.014256589095435226	0.34731821376411187
ENSG00000154719	1373.4064077959106	-0.5881590185287732	0.24220291063714294	-2.4283730405285073	0.015166734225507069	0.34731821376411187
ENSG00000157557	3474.173192082284	-0.4904214623915089	0.21008820331696992	-2.334359829102765	0.01957688836846131	0.3809371102712099
ENSG00000160207	885.4225978808932	0.6334997976301171	0.2744709946043136	2.308075571130535	0.020994933636626384	0.3809371102712099
ENSG00000177692	2181.3191072470495	0.4598434438084165	0.20020295433834162	2.2968864037404977	0.021625250801422396	0.3809371102712099
ENSG00000205929	1354.595933340339	0.4733478944774431	0.23700461064861844	1.9972096457618105	0.04580241366999504	0.708043130843104
ENSG00000186930	103.42412557593485	-1.1261835831591949	0.5653721205885874	-1.9919333517662101	0.04637837101592384	0.708043130843104
ENSG00000184012	5522.393961088517	-0.3932556352570605	0.20837662984275906	-1.8872348379653276	0.05912874646087618	0.8054809981093931
ENSG00000183036	968.6185453715741	-0.5296781254817239	0.2813996808228789	-1.8822982454451276	0.05979553261074097	0.8054809981093931
ENSG00000141959	16824.01663166796	2.056771735274703	1.1113861189401153	1.8506365161697036	0.06422186267563881	0.817044808484516
ENSG00000166265	1222.5621293205463	0.5314537798044229	0.3013348302018679	1.7636652870443004	0.07778834874671645	0.8649126945960346
ENSG00000187175	207.71896405909123	0.7791102063558012	0.44274228075516814	1.7597375272741143	0.07845231982044037	0.8649126945960346
ENSG00000159128	2810.1097209401614	0.34675030616390307	0.19761526437554658	1.7546736951703354	0.07931513793238745	0.8649126945960346
ENSG00000244624	102.07990861153554	0.9881094654160639	0.5758681583406486	1.7158605682649297	0.08618756530407358	0.8971131197422129
ENSG00000274391	3083.2242320155083	0.2885302253568367	0.17274017808428485	1.6703133489653728	0.09485738343740205	0.8971131197422129
ENSG00000154721	3847.653369618467	-0.3238634778962319	0.19656659268817758	-1.6476018303374218	0.09943440460023446	0.8971131197422129
ENSG00000197683	369.26839465524347	-0.6840790715498276	0.42202778350623626	-1.620933735372707	0.1050318508600632	0.8971131197422129
ENSG00000184221	1250.320355676329	-0.46005509027913105	0.28490977403502366	-1.6147395849697208	0.1063671012960975	0.8971131197422129
ENSG00000154727	3764.907128018191	0.274501929502463	0.17001246616250898	1.6145988332413	0.10639759828237895	0.8971131197422129
ENSG00000142173	5506.403036706444	-0.3123904976644836	0.19550157410598656	-1.5978924931577712	0.1100669050378859	0.8971131197422129
ENSG00000212938	216.08883940515506	-0.7131650178414553	0.450748004969044	-1.5821811965433619	0.11360821167041124	0.8971131197422129
ENSG00000156239	3663.712815685922	-0.36521315408883726	0.2382932590366579	-1.5326205850944974	0.12536936649224883	0.9569861642241662
ENSG00000160182	178.7246947806148	-0.6949470941726384	0.47551879998179053	-1.46145030269939	0.14389190461469492	0.9577227328536926
ENSG00000186925	146.40148490628073	0.6783166388880177	0.4729920561617801	1.434097317389215	0.1515444933428673	0.9577227328536926
ENSG00000154654	5151.816519583014	0.327081578599166	0.22888203538224647	1.4290399770909084	0.15299274356179515	0.9577227328536926
ENSG00000166351	1223.7722040815734	0.3479694449512877	0.24984129112518294	1.3927619545359202	0.16369178675717785	0.9577227328536926
ENSG00000159200	9649.617865912942	-0.23389914733150888	0.17600030322815574	-1.3289701383542318	0.18385782196025238	0.9577227328536926
ENSG00000182591	328.51363720241443	-0.5005942077347829	0.37730466080308234	-1.3267639118723904	0.1845867917166977	0.9577227328536926
ENSG00000159263	4523.469924724783	-0.2534913694039035	0.19143643693882625	-1.3241542386463605	0.1854518252506465	0.9577227328536926
ENSG00000154640	1588.9822940856152	-0.24421164060838974	0.18794692657326184	-1.299364906151822	0.19381872931515928	0.9577227328536926
ENSG00000160181	720.313310379245	0.3389826418973018	0.2627901838125826	1.289936469389048	0.19707271711701724	0.9577227328536926
ENSG00000232263	142.43766865995363	-0.6705407006267605	0.5258990360981207	-1.2750369454977533	0.20229616549560067	0.9577227328536926
ENSG00000206104	85.52516882889458	0.7906903143479903	0.6249621746311211	1.2651810724620076	0.20580642583872552	0.9577227328536926
ENSG00000183527	1893.4604308985233	0.24103561794867423	0.1910193165363945	1.2618389716767215	0.20700673567925598	0.9577227328536926
ENSG00000157617	9315.536893376611	-0.24780222555039538	0.1976366272078902	-1.2538274359931116	0.20990473463447437	0.9577227328536926
